Satélite em operação;Posição orbital;Bandas do satélite;Tipo de Direito;Operadora comercial;Posição Orbital Decimal
Telstar 12V;15ºO;Ku (não planejada);Estrangeiro;SKYNET SATELLITE CORPORATION;-15
EXPRESS AM8;14ºO;C (não planejada);Estrangeiro;RUSSIAN SATELLITE COMMUNICATIONS COMPANY (RSCC);-14
EUTELSAT 8 WEST B;8ºO;C (não planejada),Ku (não planejada);Estrangeiro;EUTELSAT S/A;-8
ABS-3A;3ºO;C (não planejada),Ku (não planejada);Estrangeiro;ABS SINGAPORE SATELLITE PTE. LTD.;-3
IS 10-02;1ºO;C (não planejada);Estrangeiro;INTELSAT LICENSE LLC;-1
EUTELSAT 3B;3ºL;C (não planejada),Ka;Estrangeiro;EUTELSAT S/A;3
SES-5;5ºL;C (não planejada);Estrangeiro;SES ASTRA AB;5
Sistema Swarm;NGEO;VHF/UHF;Estrangeiro;SWARM TECHNOLOGIES, INC.;NGEO
Sistema Starlink;NGEO;Ku (não planejada),Ku (AP30B),Ku (AP30/30A),Ka;Estrangeiro;SPACE EXPLORATION HOLDINGS, LLC;NGEO
Sistema Orbcomm;NGEO;VHF/UHF;Estrangeiro;ORBCOMM INC.;NGEO
Sistema Globalstar;NGEO;L,S,C (não planejada);Estrangeiro;GLOBALSTAR LICENSEE LLC;NGEO
O3B;NGEO;Ka;Estrangeiro;O3B LIMITED;NGEO
IRIDIUM;NGEO;L;Estrangeiro;IRIDIUM SATELLITE LLC;NGEO
