Código do Direito de Exploração (Code);Satélite (Satellite);Operadora (Operator);Representante Legal do Satélite no Brasil (Legal representative);Tipo de Direito (Type of landing right)
-98L;INMARSAT-4 F3;MARLINK SAS;MARLINK PARTICIPAÇÕES E SERVIÇOS LTDA;Estrangeiro
-98L;INMARSAT-4 F3;MORSVIAZSPUTNIK;HONEYWELL DO BRASIL LTDA.;Estrangeiro
-98L;INMARSAT-4 F3;MORSVIAZSPUTNIK;TRUCKS PROVEDORA DE COMUNICACOES E SERVICOS DE SATELITE LTDA;Estrangeiro
-98L;INMARSAT-4 F3;MORSVIAZSPUTNIK;ONIXTEL COMUNICAÇÕES LTDA;Estrangeiro
-98L;INMARSAT-4 F3;TELECOM ITÁLIA S.p.A.;HONEYWELL DO BRASIL LTDA.;Estrangeiro
IRI-L;IRIDIUM;IRIDIUM SATELLITE LLC;IRIDIUM SERVIÇOS DE SATÉLITES S.A;Estrangeiro
-1C;IS 10-02;INTELSAT LICENSE LLC;INTELSAT BRASIL LTDA;Estrangeiro
-27,5CKu_3;IS 901;INTELSAT LICENSE LLC;INTELSAT BRASIL LTDA;Estrangeiro
-24,5C_2;IS 905;INTELSAT LICENSE LLC;INTELSAT BRASIL LTDA;Estrangeiro
-43,1CKuKu30B;IS-11;INTELSAT LICENSE LLC;GLA BRASIL LTDA;Estrangeiro
-43,1CKuKu30B;IS-11;INTELSAT LICENSE LLC;INTELSAT BRASIL LTDA;Estrangeiro
-45C;IS-14;INTELSAT LICENSE LLC;INTELSAT BRASIL LTDA;Estrangeiro
-58CKu_2;IS-21;INTELSAT LICENSE LLC;INTELSAT BRASIL LTDA;Estrangeiro
-95Ku;IS-30;INTELSAT LICENSE LLC;GLA BRASIL LTDA;Estrangeiro
-55,5CKu;IS-34;INTELSAT LICENSE LLC;INTELSAT BRASIL LTDA;Estrangeiro
-55,5CKu;IS-34;INTELSAT LICENSE LLC;HISPASAT BRASIL LTDA;Estrangeiro
-34,5C;IS-35e;INTELSAT LICENSE LLC;INTELSAT BRASIL LTDA;Estrangeiro
-18CKu;IS-37e;INTELSAT LICENSE LLC;INTELSAT BRASIL LTDA;Estrangeiro
-95,2Ka;JUPITER 3;HUGHES NETWORK SYSTEMS LLC;HNS AMÉRICAS COMUNICAÇÕES LTDA;Estrangeiro
-63C;ND;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Brasileiro
-68C;ND;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Brasileiro
-20CKu;NSS7;NEW SKIES SATELLITES B.V.;NEW SKIES SATELLITES LTDA.;Estrangeiro
O3B-Ka;O3B;O3B LIMITED;O3B NETWORKS (BRASIL) LTDA.;Estrangeiro
O3B-Ka;O3B;O3B LIMITED;NEW SKIES SATELLITES LTDA.;Estrangeiro
-22CKu;SES-4;NEW SKIES SATELLITES B.V.;NEW SKIES SATELLITES LTDA.;Estrangeiro
5C;SES-5;SES ASTRA AB;NEW SKIES SATELLITES LTDA.;Estrangeiro
-40,5CC30BKu;SES-6;NEW SKIES SATELLITES B.V.;NEW SKIES SATELLITES LTDA.;Estrangeiro
-67Ku;SES-10;NEW SKIES SATELLITES B.V.;NEW SKIES SATELLITES LTDA.;Estrangeiro
-47,5CKuKa;SES-14;SES DTH DO BRASIL LTDA;SES DTH DO BRASIL LTDA;Brasileiro
-67Ka;SES-17;SES ASTRA S.A.;NEW SKIES SATELLITES LTDA.;Estrangeiro
-75Ka;SGDC;TELECOMUNICACOES BRASILEIRAS SA TELEBRAS;TELECOMUNICACOES BRASILEIRAS SA TELEBRAS;Brasileiro
GLO-CSL;Sistema Globalstar;GLOBALSTAR LICENSEE LLC;GLOBALSTAR DO BRASIL HOLDINGS LTDA;Estrangeiro
KPL-LSKu;Sistema Kepler;KEPLER COMMUNICATIONS INC.;VISUMTEC SERVIÇOS DE ENGENHARIA DE TELECOMUNICAÇÃO E INFORMÁTICA LTDA.;Estrangeiro
OWB-KuKa;Sistema Oneweb;ONEWEB LIMITED;ONEWEB CAPACIDADE SATELITAL LTDA.;Estrangeiro
OWB-KuKa;Sistema Oneweb;WORLDVU SATELLITES LIMITED;ONEWEB CAPACIDADE SATELITAL LTDA.;Estrangeiro
ORB-VHF;Sistema Orbcomm;ORBCOMM INC.;ORBCOMM COMUNICAÇÕES VIA SATÉLITE LTDA;Estrangeiro
SLK-KuKa;Sistema Starlink;SPACE EXPLORATION HOLDINGS, LLC;STARLINK BRAZIL HOLDING LTDA.;Estrangeiro
SWM-VHF;Sistema Swarm;SWARM TECHNOLOGIES, INC.;SWARM BRASIL SATÉLITES LTDA.;Estrangeiro
TLS-Ka;Sistema Telesat Lightspeed;TELESAT LEO INC;TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Estrangeiro
-43,1KuKu30B;SKY-B1;DIRECTV LATIN AMERICA LLC;GLA BRASIL LTDA;Estrangeiro
-92CKu;STARONE C1;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Brasileiro
-65CX;STARONE C2;;;Brasileiro
-65Ku;STARONE C2;;;Brasileiro
-75CKu;STARONE C3;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Brasileiro
-70Ku3030AKa;STARONE C4;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Brasileiro
-70Ku;STARONE C4;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Brasileiro
-84KuKa;STARONE D1;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Brasileiro
-84C;STARONE D1;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Brasileiro
-70Ku;STARONE D2;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Brasileiro
-70Ku3030AKa;STARONE D2;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Brasileiro
-70CX;STARONE D2;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Brasileiro
-15Ku;Telstar 12V;SKYNET SATELLITE CORPORATION;TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Estrangeiro
-63Ku30B;Telstar 19 Vantage;TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Brasileiro
-63Ku;Telstar 19 Vantage;TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Brasileiro
-63Ka;Telstar 19 Vantage;TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Brasileiro
-79Ka;ViaSat-3 (79W);VIASAT SATELLITE HOLDINGS, LTD.;VIASAT BRASIL PARTICIPAÇÕES LTDA.;Estrangeiro
-89Ka;ViaSat-3 (89W);"VIASAT INCORPORATED's";VIASAT BRASIL PARTICIPAÇÕES LTDA.;Estrangeiro
-89Ka;ViaSat-3 (89W);VIASAT SATELLITE HOLDINGS, LTD.;VIASAT BRASIL PARTICIPAÇÕES LTDA.;Estrangeiro
