Operadora (Operator);Satélite (Satellite);Posição Orbital (Orbital slot);Código do Direito (Code);Tipo de Direito (Type of landing right);Tipo (Type);Data (Date);Documento (Document);Publicação D.O.U (Official Gazette);SEI - Processos (Proceedings)
INTELSAT LICENSE LLC;IS-14;45ºO;-45C;Estrangeiro;Ato;20/12/2010;Ato Nº 8.342/2010;13/01/2011;53500.000289/2009-39
INTELSAT LICENSE LLC;IS-14;45ºO;-45C;Estrangeiro;Ato;19/10/2010;Ato Nº 6.779/2010;26/10/2010;53500.000289/2009-39
INTELSAT LICENSE LLC;IS-14;45ºO;-45C;Estrangeiro;Ato;10/08/2010;Ato Nº 5.090/2010;13/08/2010;53500.000289/2009-39
INTELSAT LICENSE LLC;IS-14;45ºO;-45C;Estrangeiro;Termo;21/05/2010;Termo PVSS/SPV Nº 002/2010-ANATEL;07/06/2010;53500.000289/2009-39
INTELSAT LICENSE LLC;IS-14;45ºO;-45C;Estrangeiro;Ato;23/04/2010;Ato Nº 2.652/2010;05/05/2010;53500.000289/2009-39
INTELSAT LICENSE LLC;IS-14;45ºO;-45C;Estrangeiro;Ato;18/03/2010;Ato Nº 1.796/2010;25/03/2010;53500.000289/2009-39
INTELSAT LICENSE LLC;IS-21;58ºO;-58CKu_2;Estrangeiro;Termo;21/01/2021;TERMO DE AUTORIZAÇÃO Nº 1/2021;10/02/2021;53500.006795/2012-37
INTELSAT LICENSE LLC;IS-21;58ºO;-58CKu_2;Estrangeiro;Ato;12/11/2020;Ato Nº 6.877/2020;13/11/2020;53500.006795/2012-37
INTELSAT LICENSE LLC;IS-30;95ºO;-95Ku;Estrangeiro;Ato;18/11/2020;Ato N° 7.017/2020;26/11/2020;53500.010986/2014-65
INTELSAT LICENSE LLC;IS-30;95ºO;-95Ku;Estrangeiro;Termo;27/12/2018;TERMO DE AUTORIZAÇÃO Nº 256/2018;11/01/2019;53500.010986/2014-65
INTELSAT LICENSE LLC;IS-30;95ºO;-95Ku;Estrangeiro;Ato;15/10/2018;Ato Nº 7.723/2018;18/10/2018;53500.010986/2014-65
INTELSAT LICENSE LLC;IS-34;55,5ºO;-55,5CKu;Estrangeiro;Ato;23/03/2021;Ato Nº 1.957/2021;25/03/2021;53500.006200/2015-96
INTELSAT LICENSE LLC;IS-34;55,5ºO;-55,5CKu;Estrangeiro;Ato;28/03/2016;Ato N° 788/2016;01/04/2016;53508.001116/2016-97
INTELSAT LICENSE LLC;IS-34;55,5ºO;-55,5CKu;Estrangeiro;Ato;08/03/2016;Ato N° 50.645/2016;28/03/2016;53500.006200/2015-96
INTELSAT LICENSE LLC;IS-34;55,5ºO;-55,5CKu;Estrangeiro;Ato;30/11/2015;Ato Nº 6.559/2015;02/12/2015;53500.006200/2015-96
INTELSAT LICENSE LLC;IS-34;55,5ºO;-55,5CKu;Estrangeiro;Termo;30/10/2015;Termo ORLE/SOR Nº 285/2015 – ANATEL;-;53500.006200/2015-96
INTELSAT LICENSE LLC;IS-34;55,5ºO;-55,5CKu;Estrangeiro;Ato;29/09/2015;Ato Nº 5.848/2015;01/10/2015;53500.006200/2015-96
INTELSAT LICENSE LLC;IS-34;55,5ºO;-55,5CKu;Estrangeiro;Ato;15/09/2015;Ato Nº 5.664/2015;21/09/2015;53500.006200/2015-96
INTELSAT LICENSE LLC;IS-35e;34,5ºO;-34,5C;Estrangeiro;Ato;06/09/2019;Ato Nº 5523/2019;11/09/2019;53508.006615/2016-71
INTELSAT LICENSE LLC;IS-35e;34,5ºO;-34,5C;Estrangeiro;Termo;02/03/2018;TERMO DE AUTORIZAÇÃO Nº 15/2018;19/03/2018;53508.006615/2016-71
INTELSAT LICENSE LLC;IS-35e;34,5ºO;-34,5C;Estrangeiro;Ato;10/08/2017;Ato Nº 11.151/2017;11/08/2017;53508.006615/2016-71
INTELSAT LICENSE LLC;IS-37e;18ºO;-18CKu;Estrangeiro;Ato;02/07/2019;Ato Nº 4.045/2019;12/07/2019;53508.002248/2017-17
INTELSAT LICENSE LLC;IS-37e;18ºO;-18CKu;Estrangeiro;Ato;24/12/2018;Ato Nº 10.278/2018;31/12/2018;53508.002248/2017-17
INTELSAT LICENSE LLC;IS-37e;18ºO;-18CKu;Estrangeiro;Ato;20/08/2018;Ato Nº 6.298/2018;17/09/2018;53508.002248/2017-17
INTELSAT LICENSE LLC;IS-37e;18ºO;-18CKu;Estrangeiro;Termo;21/03/2018;TERMO DE AUTORIZAÇÃO Nº 14/2018;26/03/2018;53508.002248/2017-17
INTELSAT LICENSE LLC;IS-37e;18ºO;-18CKu;Estrangeiro;Ato;10/01/2018;Ato Nº 164/2018;11/01/2018;53508.002248/2017-17
IRIDIUM SATELLITE LLC;IRIDIUM;NGEO;IRI-L;Estrangeiro;Termo;01/06/2018;Termo ORLE/SOR N° 33/2018;04/06/2018;53500.014964/2015-55
IRIDIUM SATELLITE LLC;IRIDIUM;NGEO;IRI-L;Estrangeiro;Ato;15/03/2018;Ato Nº 1.817/2018;20/03/2018;53500.014964/2015-55
IRIDIUM SATELLITE LLC;IRIDIUM;NGEO;IRI-L;Estrangeiro;Termo;28/11/2016;Termo ORLE/SOR N° 240/2016;30/11/2016;53500.014964/2015-55
IRIDIUM SATELLITE LLC;IRIDIUM;NGEO;IRI-L;Estrangeiro;Ato;09/06/2016;Ato Nº 1.668/2016;10/06/2016;53500.014964/2015-55
IRIDIUM SATELLITE LLC;IRIDIUM;NGEO;IRI-L;Estrangeiro;Termo;25/08/2006;Termo PVSS/SPV Nº 010/2006-ANATEL;28/09/2006;53500.031075/2004-08
IRIDIUM SATELLITE LLC;IRIDIUM;NGEO;IRI-L;Estrangeiro;Ato;12/07/2006;Ato Nº 59.572/2006;21/07/2006;53500.031075/2004-08
KEPLER COMMUNICATIONS INC.;Sistema Kepler;NGEO;KPL-LSKu;Estrangeiro;Ato;22/03/2022;Ato Nº 4163/2022;24/03/2022;53500.065211/2020-75
MARLINK SAS;Inmarsat 3 AOR East;15,5ºO;-15,5L;Estrangeiro;;;;;
MARLINK SAS;Inmarsat 3 AOR West;54ºO;-54L;Estrangeiro;;;;;
MARLINK SAS;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;14/03/2016;Ato Nº 50.728/2016;15/03/2016;53500.004955/2009-16
MARLINK SAS;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;05/06/2013;Ato Nº 3.402/2013;13/06/2013;53500.004955/2009-16
MARLINK SAS;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 173/2013;02/04/2013;53500.004955/2009-16
MARLINK SAS;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 174/2013;02/04/2013;53500.004955/2009-16
MARLINK SAS;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 178/2013;02/04/2013;53500.004955/2009-16
MARLINK SAS;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 175/2013;02/04/2013;53500.004955/2009-16
MARLINK SAS;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 176/2013;02/04/2013;53500.004955/2009-16
MARLINK SAS;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 177/2013;02/04/2013;53500.004955/2009-16
MARLINK SAS;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;04/10/2012;Ato Nº 5.719/2012;11/10/2012;53500.004955/2009-16
MARLINK SAS;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;31/07/2012;Ato Nº 4.333/2012;08/08/2012;53500.004955/2009-16
MARLINK SAS;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;26/08/2010;Ato Nº 5.488/2010;16/09/2010;53500.004955/2009-16
MORSVIAZSPUTNIK;Inmarsat 3 AOR East;15,5ºO;-15,5L;Estrangeiro;;;;;
MORSVIAZSPUTNIK;Inmarsat 3 AOR West;54ºO;-54L;Estrangeiro;;;;;
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;03/06/2019;Ato Nº 3502/2019;13/08/2019;53500.006484/2019-44
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;05/04/2018;Ato Nº 2.693/2018;14/05/2018;53500.004955/2009-16
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Despacho;25/05/2016;Despacho Nº 09/2016-SOR;30/05/2016;53500.008376/2016-63
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;14/03/2016;Ato Nº 50.728/2016;15/03/2016;53500.004955/2009-16
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;05/06/2013;Ato Nº 3.402/2013;13/06/2013;53500.004955/2009-16
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 173/2013;02/04/2013;53500.004955/2009-16
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 174/2013;02/04/2013;53500.004955/2009-16
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 177/2013;02/04/2013;53500.004955/2009-16
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 178/2013;02/04/2013;53500.004955/2009-16
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 176/2013;02/04/2013;53500.004955/2009-16
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 175/2013;02/04/2013;53500.004955/2009-16
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;04/10/2012;Ato Nº 5.719/2012;11/10/2012;53500.004955/2009-16
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;31/07/2012;Ato Nº 4.333/2012;08/08/2012;53500.004955/2009-16
MORSVIAZSPUTNIK;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;26/08/2010;Ato Nº 5.488/2010;16/09/2010;53500.004955/2009-16
NEW SKIES SATELLITES B.V.;NSS7;20ºO;-20CKu;Estrangeiro;Termo;28/01/2020;TERMO DE AUTORIZAÇÃO Nº 150/2019;29/01/2020;53500.021153/2011-87
NEW SKIES SATELLITES B.V.;NSS7;20ºO;-20CKu;Estrangeiro;Ato;11/09/2019;Ato Nº 5637/2019;12/09/2019;53500.021153/2011-87
NEW SKIES SATELLITES B.V.;NSS7;20ºO;-20CKu;Estrangeiro;Termo;03/12/2012;Termo PVSS/SPV Nº 160/2012-ANATEL;-;53500.021153/2011
NEW SKIES SATELLITES B.V.;NSS7;20ºO;-20CKu;Estrangeiro;Ato;07/08/2012;Ato Nº 4.418/2012;15/08/2012;53500.021153/2011-87
NEW SKIES SATELLITES B.V.;SES-4;22ºO;-22CKu;Estrangeiro;Ato;14/09/2017;Ato Nº 12.224/2017;24/10/2017;53500.001494/1999-99
NEW SKIES SATELLITES B.V.;SES-4;22ºO;-22CKu;Estrangeiro;Termo;13/03/2015;Termo ORLE/SOR Nº 75/2015;15/06/2015;53500.001494/1999-99
NEW SKIES SATELLITES B.V.;SES-4;22ºO;-22CKu;Estrangeiro;Ato;16/06/2014;Ato Nº 6.003/2014;25/06/2014;53500.001494/1999-99
NEW SKIES SATELLITES B.V.;SES-4;22ºO;-22CKu;Estrangeiro;Ato;22/03/2012;Ato Nº 1.609/2012;05/04/2012;53500.001494/1999-99
NEW SKIES SATELLITES B.V.;SES-4;22ºO;-22CKu;Estrangeiro;Termo;01/11/2006;Termo PVSS/SPV Nº 013/2006-ANATEL;04/01/2007;53500.001494/1999-99
NEW SKIES SATELLITES B.V.;SES-4;22ºO;-22CKu;Estrangeiro;Ato;18/10/2006;Ato Nº 61.404/2006;25/10/2006;53500.001494/1999
NEW SKIES SATELLITES B.V.;SES-4;22ºO;-22CKu;Estrangeiro;Ato;22/11/2004;Ato Nº 47.894/2004;29/11/2004;53500.020828/2004
NEW SKIES SATELLITES B.V.;SES-4;22ºO;-22CKu;Estrangeiro;Ato;19/12/2002;Ato Nº 32.455/2002;23/12/2002;53500.001494/1999
NEW SKIES SATELLITES B.V.;SES-4;22ºO;-22CKu;Estrangeiro;Ato;11/07/2002;Ato N° 27.131/2002;15/07/2002;53500.001494/1999
NEW SKIES SATELLITES B.V.;SES-4;22ºO;-22CKu;Estrangeiro;Ato;30/06/1999;Ato Nº 3.930/1999;01/07/1999;53500.001494/1999
NEW SKIES SATELLITES B.V.;SES-6;40,5ºO;-40,5CC30BKu;Estrangeiro;Ato;19/12/2013;Ato Nº 7.684/2013;24/12/2013;53500.000155/2012-13
NEW SKIES SATELLITES B.V.;SES-6;40,5ºO;-40,5CC30BKu;Estrangeiro;Termo;22/08/2013;Termo ORLE/SOR Nº 01/2013-ANATEL;17/09/2013;53500.000155/2012-13
NEW SKIES SATELLITES B.V.;SES-6;40,5ºO;-40,5CC30BKu;Estrangeiro;Ato;03/06/2013;Ato Nº 3.126/2013;12/06/2013;53500.000155/2012-13
NEW SKIES SATELLITES B.V.;SES-10;67ºO;-67Ku;Estrangeiro;Ato;04/02/2020;Ato Nº 629/2020;06/02/2020;53500.211049/2015-14
NEW SKIES SATELLITES B.V.;SES-10;67ºO;-67Ku;Estrangeiro;Ato;07/05/2018;Ato Nº 3.413/2018;16/05/2018;53500.211049/2015-14
NEW SKIES SATELLITES B.V.;SES-10;67ºO;-67Ku;Estrangeiro;Termo;18/12/2017;Termo de Autorização Nº 137/2017;20/12/2017;53500.211049/2015-14
NEW SKIES SATELLITES B.V.;SES-10;67ºO;-67Ku;Estrangeiro;Ato;25/09/2017;Ato Nº 12.506/2017;26/09/2017;53500.211049/2015-14
O3B LIMITED;O3B;NGEO;O3B-Ka;Estrangeiro;Ato;28/10/2021;Ato Nº 9538/2021;29/10/2021;53500.022176/2011-17
O3B LIMITED;O3B;NGEO;O3B-Ka;Estrangeiro;Ato;12/08/2019;Retificação Ato N° 2.197/2019;13/08/2019;53500.022176/2011-17
O3B LIMITED;O3B;NGEO;O3B-Ka;Estrangeiro;Ato;02/04/2019;Ato N° 2.197/2019;22/04/2019;53500.022176/2011-17
O3B LIMITED;O3B;NGEO;O3B-Ka;Estrangeiro;Termo;06/04/2015;Termo ORLE/SOR Nº 109/2015;-;53500.022176/2011
O3B LIMITED;O3B;NGEO;O3B-Ka;Estrangeiro;Ato;05/06/2014;Ato N° 5.772/2014;09/06/2014;53500.022176/2011-17
O3B LIMITED;O3B;NGEO;O3B-Ka;Estrangeiro;Ato;22/10/2013;Ato N° 6.366/2013;01/11/2013;53500.022176/2011-17
ONEWEB LIMITED;Sistema Oneweb;NGEO;OWB-KuKa;Estrangeiro;Ato;15/07/2022;Ato Nº 10504/2022;18/07/2022;53500.046356/2022-39
ORBCOMM INC.;Sistema Orbcomm;NGEO;ORB-VHF;Estrangeiro;Termo;07/04/2015;Termo ORLE/SOR Nº 115/2015-ANATEL;12/08/2015;53500.000308/2014-94
ORBCOMM INC.;Sistema Orbcomm;NGEO;ORB-VHF;Estrangeiro;Ato;10/04/2014;Ato N° 4.561/2014;11/04/2014;53500.000308/2014-94
RUSSIAN SATELLITE COMMUNICATIONS COMPANY (RSCC);EXPRESS AM8;14ºO;-14C;Estrangeiro;Termo;14/04/2020;Termo de Autorização Nº 27/2020;16/04/2020;53508.002982/2016-03
RUSSIAN SATELLITE COMMUNICATIONS COMPANY (RSCC);EXPRESS AM8;14ºO;-14C;Estrangeiro;Ato;13/06/2018;Ato Nº 4.539/2018;18/06/2018;53508.002982/2016-03
SES ASTRA AB;SES-5;5ºL;5C;Estrangeiro;Termo;03/12/2012;Termo PVSS/SPV Nº 159/2012-ANATEL;-;53500.022769/2011
SES ASTRA AB;SES-5;5ºL;5C;Estrangeiro;Ato;08/08/2012;Ato Nº 4.431/2012;15/08/2012;53500.022769/2011-75
SES ASTRA S.A.;SES-17;67ºO;-67Ka;Estrangeiro;Termo;06/04/2021;Termo  de Autorização nº 6/2021;12/04/2021;53500.024300/2020-61
SES ASTRA S.A.;SES-17;67ºO;-67Ka;Estrangeiro;Ato;01/02/2021;Ato Nº 695/2021;02/02/2021;53500.024300/2020-61
SES DTH DO BRASIL LTDA;SES-14;47,5ºO;-47,5CKuKa;Brasileiro;Termo aditivo;07/08/2018;2º Aditamento ao Termo ORLE/SOR N° 2/2014 – ANATEL;09/08/2018;53500.021279/2014-02
SES DTH DO BRASIL LTDA;SES-14;47,5ºO;-47,5CKuKa;Brasileiro;Termo aditivo;14/05/2018;Aditamento ao Termo ORLE/SOR N° 2/2014 – ANATEL;15/05/2018;53500.021279/2014-02
SES DTH DO BRASIL LTDA;SES-14;47,5ºO;-47,5CKuKa;Brasileiro;Ato;01/03/2018;Ato Nº 1.373/2018;02/03/2018;53500.021279/2014-02
SES DTH DO BRASIL LTDA;SES-14;47,5ºO;-47,5CKuKa;Brasileiro;Termo;12/08/2014;Termo ORLE/SOR N° 2/2014 – ANATEL;13/08/2014;53500.021279/2014-02
SES DTH DO BRASIL LTDA;SES-14;47,5ºO;-47,5CKuKa;Brasileiro;Ato;06/08/2014;Ato Nº 6.915/2014;08/08/2014;53500.006744/2014-77
SKYNET SATELLITE CORPORATION;Telstar 12V;15ºO;-15Ku;Estrangeiro;Ato;22/07/2019;Ato N° 4.382/2019;29/07/2019;53500.008675/2015-17
SKYNET SATELLITE CORPORATION;Telstar 12V;15ºO;-15Ku;Estrangeiro;Ato;17/11/2017;Ato Nº 13932/2017;11/12/2017;53500.008675/2015-17
SKYNET SATELLITE CORPORATION;Telstar 12V;15ºO;-15Ku;Estrangeiro;Termo;22/02/2017;Termo de Autorização Nº 1/2017;24/02/2017;53500.008675/2015-17
SKYNET SATELLITE CORPORATION;Telstar 12V;15ºO;-15Ku;Estrangeiro;Ato;07/02/2017;Ato Nº 676/2017;13/02/2017;53500.008675/2015-17
SKYNET SATELLITE CORPORATION;Telstar 12V;15ºO;-15Ku;Estrangeiro;Ato;16/12/2016;Ato Nº 5.500/2016;20/12/2016;53500.008675/2015-17
SKYNET SATELLITE CORPORATION;Telstar 12V;15ºO;-15Ku;Estrangeiro;Ato;17/06/2016;Ato Nº 1.843/2016;22/07/2016;53500.008675/2015-17
SKYNET SATELLITE CORPORATION;Telstar 12V;15ºO;-15Ku;Estrangeiro;Ato;05/05/2016;Ato Nº 1.316/2016;09/05/2016;53500.008675/2015-17
SPACE EXPLORATION HOLDINGS, LLC;Sistema Starlink;NGEO;SLK-KuKa;Estrangeiro;Ato;07/02/2022;Ato Nº 2174/2022;08/02/2022;53500.030333/2021-21
SWARM TECHNOLOGIES, INC.;Sistema Swarm;NGEO;SWM-VHF;Estrangeiro;Ato;09/02/2022;Ato Nº 2263/2022;11/02/2022;53500.043349/2020-13
TELECOM ITÁLIA S.p.A.;Inmarsat 3 AOR East;15,5ºO;-15,5L;Estrangeiro;;;;;
TELECOM ITÁLIA S.p.A.;Inmarsat 3 AOR West;54ºO;-54L;Estrangeiro;;;;;
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;24/06/2020;Ato Nº 3.318/2020;01/07/2020;53500.004955/2009-16
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;14/03/2016;Ato Nº 50.728/2016;15/03/2016;53500.004955/2009-16
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;05/06/2013;Ato Nº 3.402/2013;13/06/2013;53500.004955/2009-16
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 175/2013;02/04/2013;53500.004955/2009-16
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 173/2013;02/04/2013;53500.004955/2009-16
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 174/2013;02/04/2013;53500.004955/2009-16
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 178/2013;02/04/2013;53500.004955/2009-16
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 177/2013;02/04/2013;53500.004955/2009-16
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 176/2013;02/04/2013;53500.004955/2009-16
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;04/10/2012;Ato Nº 5.719/2012;11/10/2012;53500.004955/2009-16
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;31/07/2012;Ato Nº 4.333/2012;08/08/2012;53500.004955/2009-16
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;26/08/2010;Ato Nº 5.488/2010;16/09/2010;53500.004955/2009-16
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS;SGDC;75ºO;-75Ka;Brasileiro;Termo aditivo;20/06/2022;Aditamento ao Termo de Direito de Exploração ORLE/SOR Nº 05/2014;27/06/2022;53500.056990/2017-12
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS;SGDC;75ºO;-75Ka;Brasileiro;Ato;10/08/2021;Ato Nº 5.958/2021;19/08/2021;53500.056990/2017-12
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS;SGDC;75ºO;-75Ka;Brasileiro;Termo;25/08/2014;Termo ORLE/SOR Nº 5/2014-ANATEL;29/08/2014;53500.021531/2013-94
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS;SGDC;75ºO;-75Ka;Brasileiro;Ato;07/01/2014;Ato Nº 76/2014;14/01/2014;"53500.021531/2013;"
TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Estrela do Sul 2;63ºO;-63Ku;Brasileiro;Termo;02/03/2016;Termo ORLE/SOR N° 002/2016 – ANATEL;04/03/2016;53500.007759/2015-33
TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Estrela do Sul 2;63ºO;-63Ku;Brasileiro;Ato;24/02/2016;Ato N° 50.474/2016;25/02/2016;53500.007759/2015-33
TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Estrela do Sul 2;63ºO;-63Ku;Brasileiro;Termo;19/12/2008;Termo PVSS/SPV N° 006/2008 – ANATEL;23/12/2008;53500.025715/2009-47
TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Estrela do Sul 2;63ºO;-63Ku;Brasileiro;Ato;01/12/2008;Ato N° 7.446/2008;09/12/2008;53500.025715/2009-47
TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Telstar 19 Vantage;63ºO;-63Ka;Brasileiro;Termo;02/03/2016;Termo ORLE/SOR N° 001/2016 – ANATEL;04/03/2016;53500.007759/2015-33
TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Telstar 19 Vantage;63ºO;-63Ka;Brasileiro;Ato;24/02/2016;Ato N° 50.472/2016;25/02/2016;53500.007759/2015-33
TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Telstar 19 Vantage;63ºO;-63Ku;Brasileiro;;;;;
TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Telstar 19 Vantage;63ºO;-63Ku30B;Brasileiro;;;;;
TELESAT CANADA;ANIK G1;107,3ºO;-107,3CKuX_2;Estrangeiro;Termo;02/03/2021;Termo de Autorização Nº 2/2021;04/03/2021;53500.005555/2011-34
TELESAT CANADA;ANIK G1;107,3ºO;-107,3CKuX_2;Estrangeiro;Ato;01/07/2020;Ato Nº 3.480/2020;02/07/2020;53500.005555/2011-34
TELESAT CANADA;ANIK G1;107,3ºO;-107,3CKuX_2;Estrangeiro;Ato;18/09/2014;Ato Nº 7.758/2014;19/09/2014;53500.005555/2011
TELESAT CANADA;ANIK G1;107,3ºO;-107,3CKuX_2;Estrangeiro;Ato;02/05/2014;Ato Nº 4.955/2014;05/05/2014;53500.005555/2011
TELESAT CANADA;ANIK G1;107,3ºO;-107,3CKuX_2;Estrangeiro;Ato;25/11/2013;Ato Nº 7.094/2013;02/12/2013;53500.005555/2011
TELESAT CANADA;ANIK G1;107,3ºO;-107,3CKuX_2;Estrangeiro;Ato;13/11/2012;Ato Nº 6.744/2012;19/11/2012;53500.005555/2011
TELESAT CANADA;ANIK G1;107,3ºO;-107,3CKuX_2;Estrangeiro;Termo;17/09/2012;Termo PVSS/SPV Nº 158/2012-ANATEL;24/09/2012;53500.005555/2011-34
TELESAT CANADA;ANIK G1;107,3ºO;-107,3CKuX_2;Estrangeiro;Ato;19/06/2012;Ato Nº 3.387/2012;04/07/2012;53500.005555/2011-34
TELESAT LEO INC;Sistema Telesat Lightspeed;NGEO;TLS-Ka;Estrangeiro;Ato;17/05/2022;Ato Nº 6847/2022;19/05/2022;53500.042080/2021-39
"VIASAT INCORPORATED's";ViaSat-3 (89W);89ºO;-89Ka;Estrangeiro;Termo;16/02/2022;TERMO DE AUTORIZAÇÃO Nº 50/2021;17/02/2022;53500.023357/2021-24
"VIASAT INCORPORATED's";ViaSat-3 (89W);89ºO;-89Ka;Estrangeiro;Ato;20/10/2021;Ato Nº 9307/2021;22/10/2021;53500.023357/2021-24
VIASAT SATELLITE HOLDINGS, LTD.;ViaSat-3 (79W);79ºO;-79Ka;Estrangeiro;Termo;12/08/2021;TERMO DE AUTORIZAÇÃO Nº 13/2021;17/08/2021;53500.023370/2021-83
VIASAT SATELLITE HOLDINGS, LTD.;ViaSat-3 (79W);79ºO;-79Ka;Estrangeiro;Ato;15/06/2021;Ato Nº 4338/2021;16/06/2021;53500.023370/2021-83
VIASAT SATELLITE HOLDINGS, LTD.;ViaSat-3 (89W);89ºO;-89Ka;Estrangeiro;Termo;16/02/2022;TERMO DE AUTORIZAÇÃO Nº 51/2021;17/02/2022;53500.023357/2021-24
VIASAT SATELLITE HOLDINGS, LTD.;ViaSat-3 (89W);89ºO;-89Ka;Estrangeiro;Ato;20/10/2021;Ato Nº 9308/2021;22/10/2021;53500.023357/2021-24
WORLDVU SATELLITES LIMITED;Sistema Oneweb;NGEO;OWB-KuKa;Estrangeiro;Ato;15/07/2022;Ato Nº 10495/2022;18/07/2022;53500.046356/2022-39
